team,Goal Average,Offensive Pass Accuracy,Pass Accuracy,Shot Accuracy
Argentina,1.8571428571428572,0.7386504589431903,0.8262554630164096,0.6304347826086957
Brazil,1.9545454545454546,0.7509288917360666,0.8316883116883117,0.6227848101265823
England,1.588235294117647,0.6954765751211631,0.7933114035087719,0.5767790262172284
France,1.4285714285714286,0.7228109313998885,0.8050598156501275,0.5766666666666667
Germany,2.2083333333333335,0.7404783903090032,0.8234390277971784,0.6057007125890737
Portugal,1.5,0.707539488682625,0.8023550126554418,0.5699658703071673
Spain,1.6666666666666667,0.7819604008799804,0.8601332810662485,0.5759493670886076
